ID,rating,price,category_Chinese,category_Japanese,category_Korean,category_Indian,category_French,category_Mexican,category_Lebanese,category_Ethiopian,Asian,rest_lat,rest_lon,distance,downtown
0,1,4,0,1,0,0,0,0,0,0,1.0,57.994604125399164,42.220971740314106,71.73551813682096,1.0
1,2,2,0,0,1,0,0,0,0,0,1.0,93.47445441371973,50.54943372053414,106.26720508891368,0.0
2,3,3,0,0,0,0,0,0,0,1,0.0,94.90229438365884,97.83052047127173,136.2984087029726,0.0
3,4,1,1,0,0,0,0,0,0,0,1.0,51.027965720703136,69.15220558945565,85.94114744102265,0.0
4,4,3,0,0,0,0,0,0,0,0,0.0,37.657348550591394,89.14562021080141,96.77302053066843,0.0
5,1,3,0,0,0,0,0,0,0,0,0.0,85.37602848614517,27.951286991882686,89.83507491269577,0.0
6,3,3,0,0,0,0,0,0,0,0,0.0,80.92257316672372,32.517701630311855,87.21160339795239,0.0
7,5,2,0,0,0,0,0,0,0,0,0.0,12.124401675172658,21.28927832477122,24.499683417760796,1.0
8,4,1,0,0,0,0,0,0,0,0,0.0,64.94392610293674,73.13827546040105,97.8106378416234,0.0
9,4,1,0,0,0,0,0,1,0,0,0.0,61.62144463718595,23.587160661718453,65.98148670085793,1.0
10,5,3,0,0,0,0,0,0,0,1,0.0,16.36763315117582,84.80586926113214,86.3709145262901,0.0
11,5,3,0,0,0,0,0,0,1,0,0.0,3.3043392358638513,33.839595500984274,34.00054237002557,1.0
12,4,2,0,0,0,0,0,0,1,0,0.0,86.59702327415597,89.93805963151135,124.85150784121913,0.0
13,2,2,1,0,0,0,0,0,0,0,1.0,56.26985908879486,17.810432930458486,59.021255180173775,1.0
14,3,3,0,0,0,0,0,1,0,0,0.0,42.86961014005156,51.227237597658046,66.79845316657357,1.0
15,1,2,0,1,0,0,0,0,0,0,1.0,49.45018008456968,50.59277989715027,70.74566904141811,1.0
16,5,3,0,0,0,0,0,1,0,0,0.0,18.366932894610166,94.85215817787068,96.61405764667434,0.0
17,4,2,0,0,0,1,0,0,0,0,1.0,44.55927431535013,11.470628669318605,46.012001147309554,1.0
18,4,1,0,0,0,1,0,0,0,0,1.0,29.795099019729964,25.69440652706062,39.3440014789214,1.0
19,3,2,0,0,0,0,0,1,0,0,0.0,79.99335274406577,83.2982176252411,115.48822252844036,0.0
20,1,3,0,0,0,0,0,0,0,0,0.0,18.702049368230945,49.58660319942319,52.99620616071299,1.0
21,5,1,0,0,0,0,0,0,0,1,0.0,95.78285348295921,0.7157591905796457,95.78552778242093,0.0
