InfeasibleCG,InitialRadius,SecondDerivatives,Status,LogLikelihood,GradientNorm,Number of draws,Optimization time,TerminationCause
True,0.1,0.0,Success,-5331.252006915873,0.0002311755925988433,10000,1ms,Relative gradient = 5.1e-08 <= 6.1e-06
True,0.1,0.5,Success,-5331.252006915873,0.0002311755925988433,10000,199ms,Relative gradient = 5.1e-08 <= 6.1e-06
True,0.1,1.0,Success,-5331.252006915873,0.0002311755925988433,10000,203ms,Relative gradient = 5.1e-08 <= 6.1e-06
True,1.0,0.0,Success,-5331.252006915873,0.0002311755925988433,10000,206ms,Relative gradient = 5.1e-08 <= 6.1e-06
True,1.0,0.5,Success,-5331.252006915873,0.0002311755925988433,10000,197ms,Relative gradient = 5.1e-08 <= 6.1e-06
True,1.0,1.0,Success,-5331.252006915873,0.0002311755925988433,10000,242ms,Relative gradient = 5.1e-08 <= 6.1e-06
True,10.0,0.0,Success,-5331.252006915873,0.0002311755925988433,10000,212ms,Relative gradient = 5.1e-08 <= 6.1e-06
True,10.0,0.5,Success,-5331.252006915873,0.0002311755925988433,10000,200ms,Relative gradient = 5.1e-08 <= 6.1e-06
True,10.0,1.0,Success,-5331.252006915873,0.0002311755925988433,10000,200ms,Relative gradient = 5.1e-08 <= 6.1e-06
False,0.1,0.0,Success,-5331.252006915873,0.0002311755925988433,10000,204ms,Relative gradient = 5.1e-08 <= 6.1e-06
False,0.1,0.5,Success,-5331.252006915873,0.0002311755925988433,10000,222ms,Relative gradient = 5.1e-08 <= 6.1e-06
False,0.1,1.0,Success,-5331.252006915873,0.0002311755925988433,10000,226ms,Relative gradient = 5.1e-08 <= 6.1e-06
False,1.0,0.0,Success,-5331.252006915873,0.0002311755925988433,10000,226ms,Relative gradient = 5.1e-08 <= 6.1e-06
False,1.0,0.5,Success,-5331.252006915873,0.0002311755925988433,10000,213ms,Relative gradient = 5.1e-08 <= 6.1e-06
False,1.0,1.0,Success,-5331.252006915873,0.0002311755925988433,10000,208ms,Relative gradient = 5.1e-08 <= 6.1e-06
False,10.0,0.0,Success,-5331.252006915873,0.0002311755925988433,10000,201ms,Relative gradient = 5.1e-08 <= 6.1e-06
False,10.0,0.5,Success,-5331.252006915873,0.0002311755925988433,10000,189ms,Relative gradient = 5.1e-08 <= 6.1e-06
False,10.0,1.0,Success,-5331.252006915873,0.0002311755925988433,10000,190ms,Relative gradient = 5.1e-08 <= 6.1e-06
