InfeasibleCG,InitialRadius,SecondDerivatives,Status,LogLikelihood,GradientNorm,Number of draws,Optimization time,TerminationCause
True,0.1,0.0,Success,-5328.4656073359265,427.0538876595251,10000,55.2s,Trust region is too small: 1.1920928955077447e-08
True,0.1,0.5,Success,-5405.297086845367,534.8182557411959,10000,18.4s,Trust region is too small: 1.1920928954904653e-08
True,0.1,1.0,Success,-5389.278483982978,537.3652580939395,10000,18.5s,Trust region is too small: 1.1920928954904653e-08
True,1.0,0.0,Success,-5419.981099279796,630.3633927252995,10000,19.8s,Trust region is too small: 1.4901161193847656e-08
True,1.0,0.5,Success,-5331.074558289537,437.2020703352678,10000,22.9s,Trust region is too small: 1.4901161193847656e-08
True,1.0,1.0,Success,-5326.642842216616,415.8879766605919,10000,1m 8s,Trust region is too small: 1.4901161193847656e-08
True,10.0,0.0,Success,-5266.710577903635,140.0137563351602,10000,15.5s,Trust region is too small: 9.313225746154785e-09
True,10.0,0.5,Success,-5266.710577903635,140.0137563351602,10000,15.8s,Trust region is too small: 9.313225746154785e-09
True,10.0,1.0,Success,-5266.710577903635,140.0137563351602,10000,15.8s,Trust region is too small: 9.313225746154785e-09
False,0.1,0.0,Success,-5266.710577903635,140.0137563351602,10000,12.6s,Trust region is too small: 1.1920928955078126e-08
False,0.1,0.5,Success,-5266.710577903635,140.0137563351602,10000,12.7s,Trust region is too small: 1.1920928955078126e-08
False,0.1,1.0,Success,-5266.710577903635,140.0137563351602,10000,12.9s,Trust region is too small: 1.1920928955078126e-08
False,1.0,0.0,Success,-5266.710577903635,140.0137563351602,10000,13.9s,Trust region is too small: 1.4901161193847656e-08
False,1.0,0.5,Success,-5266.710577903635,140.0137563351602,10000,13.9s,Trust region is too small: 1.4901161193847656e-08
False,1.0,1.0,Success,-5266.710577903635,140.0137563351602,10000,14.1s,Trust region is too small: 1.4901161193847656e-08
False,10.0,0.0,Success,-5266.710577903635,140.0137563351602,10000,15.7s,Trust region is too small: 9.313225746154785e-09
False,10.0,0.5,Success,-5266.710577903635,140.0137563351602,10000,15.7s,Trust region is too small: 9.313225746154785e-09
False,10.0,1.0,Success,-5266.710577903635,140.0137563351602,10000,15.7s,Trust region is too small: 9.313225746154785e-09
