InfeasibleCG,InitialRadius,SecondDerivatives,Status,LogLikelihood,GradientNorm,Number of draws,Optimization time,TerminationCause
True,0.1,0.0,Success,-5215.694233319095,0.015617095529123779,10000,1m 40s,Relative gradient = 2.9e-06 <= 6.1e-06
True,0.1,0.5,Success,-5416.912729018959,534.6444626044598,10000,12.9s,Trust region is too small: 1.1920928955078126e-08
True,0.1,1.0,Success,-5416.912729018959,534.6444626044598,10000,13.1s,Trust region is too small: 1.1920928955078126e-08
True,1.0,0.0,Success,-6731.85943602607,971.1728305911943,10000,15.3s,Trust region is too small: 1.4901161193847656e-08
True,1.0,0.5,Success,-7429.586826820063,1166.638975522394,10000,15m 15s,Trust region is too small: 1.4901161193847656e-08
True,1.0,1.0,Success,-7449.340002226899,1172.876534879828,10000,14.5s,Trust region is too small: 1.4901161193847656e-08
True,10.0,0.0,Success,-10162.354700226031,1691.9637029157361,10000,16.2s,Trust region is too small: 9.313225746154785e-09
True,10.0,0.5,Success,-10162.354700226031,1691.9637029157361,10000,16.0s,Trust region is too small: 9.313225746154785e-09
True,10.0,1.0,Success,-10162.354700226031,1691.9637029157361,10000,16.1s,Trust region is too small: 9.313225746154785e-09
False,0.1,0.0,Success,-5415.616270101897,540.7245738145732,10000,12.9s,Trust region is too small: 1.1920928954904653e-08
False,0.1,0.5,Success,-5416.912729018959,534.6444626044598,10000,12.9s,Trust region is too small: 1.1920928955078126e-08
False,0.1,1.0,Success,-5416.912729018959,534.6444626044598,10000,13.0s,Trust region is too small: 1.1920928955078126e-08
False,1.0,0.0,Success,-8003.211583433065,1297.3140624672894,10000,14.4s,Trust region is too small: 1.4901161193847656e-08
False,1.0,0.5,Success,-8003.211583433065,1297.3140624672894,10000,14.3s,Trust region is too small: 1.4901161193847656e-08
False,1.0,1.0,Success,-8003.211583433065,1297.3140624672894,10000,14.5s,Trust region is too small: 1.4901161193847656e-08
False,10.0,0.0,Success,-10162.354700226031,1691.9637029157361,10000,16.2s,Trust region is too small: 9.313225746154785e-09
False,10.0,0.5,Success,-10162.354700226031,1691.9637029157361,10000,16.0s,Trust region is too small: 9.313225746154785e-09
False,10.0,1.0,Success,-10162.354700226031,1691.9637029157361,10000,16.4s,Trust region is too small: 9.313225746154785e-09
