,Model_000000,Model_000001,Model_000002,Model_000003,Model_000004,Model_000005,Model_000006
Number of estimated parameters,10,9,8,4,5,6,7
Sample size,6768,6768,6768,6768,6768,6768,6768
Final log likelihood,-594197.4,-5898.415,-6070.768,-6625.573,-5564.86,-8821.566,-5728.627
Akaike Information Criterion,1188415,11814.83,12157.54,13259.15,11139.72,17655.13,11471.25
Bayesian Information Criterion,1188483,11876.21,12212.1,13286.43,11173.82,17696.05,11518.99
asc_train_ref (t-test),1.83  (0.0638),0  (0),0  (0),,,-0.328  (-3.74),-1.26  (-6.12)
asc_train_diff_male (t-test),0.663  (0.303),0  (0),0  (0),,,,
asc_train_diff_with_ga (t-test),4.09  (0.0426),0  (0),0  (0),,,3.76  (5.86),2.12  (9.55)
b_time (t-test),-0.274  (-3.03),-3.32  (-21.2),-3.23  (-20.7),-5.8  (-12.4),-1.64  (-12.3),-0.966  (-5.12),-3  (-19.3)
lambda_tt (t-test),2.39  (7.74),,,,,,
b_cost (t-test),-0.104  (-0.000497),-2.35  (-17),-3.26  (-16.7),-3.38  (-13.2),-1.51  (-17.5),-3.13  (-16.4),-1.45  (-14.9)
b_headway (t-test),1.72  (1.15e-07),-0.00529  (-3.43),,,-0.0149  (-13.7),,-0.0117  (-3.54)
asc_car_ref (t-test),-2.63  (-1.46e-308),0  (0),0  (0),,,1.07  (13.2),-0.233  (-2.53)
asc_car_diff_male (t-test),-1.39  (-7.72e-309),0  (0),0  (0),,,,
asc_car_diff_with_ga (t-test),-4  (-2.22e-308),0  (0),0  (0),,,-0.372  (-0.545),-1.9  (-9.78)
asc_train (t-test),,,,-1.6  (-9.64),-0.0156  (-0.227),,
asc_car (t-test),,,,-0.315  (-3.89),-0.0135  (-0.257),,



Model_000000,asc:MALE-GA;train_cost_catalog:log;train_headway_catalog:with_headway;train_tt_catalog:boxcox
Model_000001,asc:MALE-GA;train_cost_catalog:log;train_headway_catalog:with_headway;train_tt_catalog:log
Model_000002,asc:MALE-GA;train_cost_catalog:log;train_headway_catalog:without_headway;train_tt_catalog:log
Model_000003,asc:no_seg;train_cost_catalog:linear;train_headway_catalog:without_headway;train_tt_catalog:sqrt
Model_000004,asc:no_seg;train_cost_catalog:sqrt;train_headway_catalog:with_headway;train_tt_catalog:sqrt
Model_000005,asc:GA;train_cost_catalog:log;train_headway_catalog:without_headway;train_tt_catalog:sqrt
Model_000006,asc:GA;train_cost_catalog:log;train_headway_catalog:with_headway;train_tt_catalog:log
