SubjectId	OriginGMT	DestinationGMT	Direction	q02_TripPurpose	q03_WhoPays	q11_DepartureOrArrivalIsImportant	q12_IdealDepTime	q13_IdealArrTime	q14_PartySize	q15_Age	q16_Income	Cont_Income	q17_Gender	q19_Occupation	q20_Education	AirlineFirstFlight_1	AirlineFirstFlight_2	AirlineFirstFlight_3	AirlineSecondFlight_1	AirlineSecondFlight_2	AirlineSecondFlight_3	AirplaneFirstFlight_1	AirplaneFirstFlight_2	AirplaneFirstFlight_3	AirplaneSecondFlight_1	AirplaneSecondFlight_2	AirplaneSecondFlight_3	DepartureTimeHours_1	DepartureTimeHours_2	DepartureTimeHours_3	DepartureTimeMins_1	DepartureTimeMins_2	DepartureTimeMins_3	ArrivalTimeHours_1	ArrivalTimeHours_2	ArrivalTimeHours_3	ArrivalTimeMins_1	ArrivalTimeMins_2	ArrivalTimeMins_3	FlyingTimeHours_1	FlyingTimeHours_2	FlyingTimeHours_3	TripTimeHours_1	TripTimeHours_2	TripTimeHours_3	Legroom_1	Legroom_2	Legroom_3	Fare_1	Fare_2	Fare_3	BestAlternative_1	BestAlternative_2	BestAlternative_3	TripPurpose
1	300	360	0	2	1	2	-1	480	2	3.5	9	92.5	1	2	6	5	6	3	-1	-1	2	2	3	7	-1	8	7	7	9	9	420	540	540	10.6167	14.1167	13.6167	637	847	817	4.61667	5.11667	5.11667	4.61667	6.11667	5.61667	2	3	4	835	835	730	0	0	1	2
2	480	480	1	2	1	2	-1	540	1	3.5	10	112.5	1	1	6	3	4	5	-1	-1	1	8	8	2	-1	8	1	7.5	15	12	450	900	720	10.0333	18.5333	16.5333	602	1112	992	2.53333	3.03333	3.03333	2.53333	3.53333	4.53333	2	2	3	315	315	350	0	1	0	2
3	480	480	1	2	1	1	-1	-1	2	3.5	6	60	1	2	6	5	9	2	-1	-1	6	8	5	5	-1	6	6	7.5	9	12	450	540	720	10.0333	13.5333	17.0333	602	812	1022	2.53333	3.03333	3.03333	2.53333	4.53333	5.03333	3	1	4	195	160	170	0	1	0	2
4	480	480	1	2	3	1	630	-1	2	6	12	162.5	2	2	6	4	3	7	-1	-1	6	7	4	6	-1	6	8	18	18	12	1080	1080	720	18.9667	21.4667	13.9667	1138	1288	838	0.966667	1.46667	1.46667	0.966667	3.46667	1.96667	3	3	1	135	125	140	0	0	1	2
5	300	480	0	2	1	0	-1	-1	3	5	10	112.5	2	5	7	7	1	4	-1	-1	3	3	2	2	-1	3	6	10.5	15	15	630	900	900	11.8	18.3	17.8	708	1098	1068	4.3	4.8	4.8	4.3	6.3	5.8	3	2	3	270	300	300	1	0	0	2
6	480	300	2	4	1	1	1425	-1	1	3.5	7	70	2	5	5	3	6	6	-1	-1	3	6	2	7	-1	5	2	7	13	7	420	780	420	14.5667	22.0667	16.5667	874	1324	994	4.56667	5.06667	5.06667	4.56667	6.06667	6.56667	3	1	4	400	330	400	1	0	0	4
7	300	360	0	2	1	0	-1	-1	1	2	99	-1	2	99	3	3	1	3	-1	-1	1	4	4	6	-1	6	8	12	16.5	10.5	720	990	630	14.6833	20.6833	15.6833	881	1241	941	3.68333	4.18333	4.18333	3.68333	5.18333	6.18333	4	4	4	720	555	590	1	0	0	2
8	360	300	2	2	1	2	-1	720	1	6	5	50	1	2	6	5	2	4	-1	-1	5	6	6	4	-1	1	8	8	9	8	480	540	480	12.1333	15.6333	14.6333	728	938	878	3.13333	3.63333	3.63333	3.13333	5.63333	5.63333	2	2	3	355	355	475	1	0	0	2
9	480	300	2	2	1	1	420	-1	3	3.5	10	112.5	1	1	6	7	2	6	-1	-1	4	7	8	1	-1	3	5	11	10	11	660	600	660	18.9833	18.9833	21.4833	1139	1139	1289	4.98333	5.48333	5.48333	4.98333	5.98333	7.48333	4	2	4	665	520	550	0	1	0	2
10	360	480	0	4	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	3	3	2	-1	-1	7	7	2	1	-1	2	6	7.5	10.5	7.5	450	630	450	10	14.5	12.5	600	870	750	4.5	5	5	4.5	6	7	2	3	1	380	365	415	0	0	1	4
