	ID	CAR_AV_0	CAR_AV_1	CAR_AV_2	CAR_AV_3	CAR_AV_4	CAR_AV_5	CAR_AV_6	CAR_AV_7	CAR_AV_8	CAR_CO_0	CAR_CO_1	CAR_CO_2	CAR_CO_3	CAR_CO_4	CAR_CO_5	CAR_CO_6	CAR_CO_7	CAR_CO_8	CAR_TT_0	CAR_TT_1	CAR_TT_2	CAR_TT_3	CAR_TT_4	CAR_TT_5	CAR_TT_6	CAR_TT_7	CAR_TT_8	CHOICE_0	CHOICE_1	CHOICE_2	CHOICE_3	CHOICE_4	CHOICE_5	CHOICE_6	CHOICE_7	CHOICE_8	SM_AV_0	SM_AV_1	SM_AV_2	SM_AV_3	SM_AV_4	SM_AV_5	SM_AV_6	SM_AV_7	SM_AV_8	SM_CO_0	SM_CO_1	SM_CO_2	SM_CO_3	SM_CO_4	SM_CO_5	SM_CO_6	SM_CO_7	SM_CO_8	SM_HE_0	SM_HE_1	SM_HE_2	SM_HE_3	SM_HE_4	SM_HE_5	SM_HE_6	SM_HE_7	SM_HE_8	SM_SEATS_0	SM_SEATS_1	SM_SEATS_2	SM_SEATS_3	SM_SEATS_4	SM_SEATS_5	SM_SEATS_6	SM_SEATS_7	SM_SEATS_8	SM_TT_0	SM_TT_1	SM_TT_2	SM_TT_3	SM_TT_4	SM_TT_5	SM_TT_6	SM_TT_7	SM_TT_8	TRAIN_AV_0	TRAIN_AV_1	TRAIN_AV_2	TRAIN_AV_3	TRAIN_AV_4	TRAIN_AV_5	TRAIN_AV_6	TRAIN_AV_7	TRAIN_AV_8	TRAIN_CO_0	TRAIN_CO_1	TRAIN_CO_2	TRAIN_CO_3	TRAIN_CO_4	TRAIN_CO_5	TRAIN_CO_6	TRAIN_CO_7	TRAIN_CO_8	TRAIN_HE_0	TRAIN_HE_1	TRAIN_HE_2	TRAIN_HE_3	TRAIN_HE_4	TRAIN_HE_5	TRAIN_HE_6	TRAIN_HE_7	TRAIN_HE_8	TRAIN_TT_0	TRAIN_TT_1	TRAIN_TT_2	TRAIN_TT_3	TRAIN_TT_4	TRAIN_TT_5	TRAIN_TT_6	TRAIN_TT_7	TRAIN_TT_8	INCOME	FIRST	PURPOSE	DEST	TICKET	LUGGAGE	MALE	SP	SURVEY	GROUP	ORIGIN	QuestionID	GA	WHO	AGE	index
0	1	1	1	1	1	1	1	1	1	1	65	84	52	52	84	52	65	65	65	117	117	117	72	90	90	72	90	72	2	2	2	2	2	2	2	1	2	1	1	1	1	1	1	1	1	1	52	49	58	52	42	49	58	43	46	20	10	30	20	20	10	10	30	10	0	0	0	0	0	0	0	0	0	63	60	67	63	63	60	67	67	60	1	1	1	1	1	1	1	1	1	48	48	48	40	36	36	48	36	40	120	30	60	30	60	120	120	30	60	112	103	130	103	130	112	103	103	130	2	0	1	1	1	0	0	1	0	2	2	1	0	1	3	1
1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	2	2	2	2	2	2	2	1	1	1	1	1	1	1	1	1	70	66	82	72	53	66	82	57	62	20	10	30	20	20	10	10	30	10	0	0	0	0	0	0	0	0	0	76	70	84	76	76	70	84	84	70	1	1	1	1	1	1	1	1	1	62	62	62	52	47	47	62	47	52	120	30	60	30	60	120	120	30	60	184	170	213	170	213	184	170	170	213	1	0	1	1	1	1	0	1	0	2	22	1	0	1	2	10
2	3	1	1	1	1	1	1	1	1	1	40	50	65	65	40	40	50	50	65	105	136	136	84	136	84	84	105	84	2	2	2	2	2	2	2	2	2	1	1	1	1	1	1	1	1	1	35	38	40	38	36	42	32	40	42	10	20	10	30	30	20	10	30	30	0	0	1	1	1	0	1	0	0	29	25	27	25	25	25	27	27	27	1	1	1	1	1	1	1	1	1	32	29	32	29	32	38	29	32	38	30	30	120	60	30	60	30	60	30	58	58	58	47	51	51	51	51	58	2	0	1	25	1	1	1	1	0	2	10	1	0	1	2	19
3	4	1	1	1	1	1	1	1	1	1	80	130	100	130	80	100	80	130	100	135	175	175	108	175	108	108	108	135	2	2	2	2	2	2	2	2	2	1	1	1	1	1	1	1	1	1	45	52	49	49	46	42	50	52	52	10	10	20	30	30	10	20	30	30	0	1	0	1	1	1	0	0	0	65	61	58	58	58	61	58	61	61	1	1	1	1	1	1	1	1	1	40	40	36	36	40	36	48	48	40	30	120	30	60	30	30	60	30	60	138	138	138	105	116	116	116	138	116	3	0	1	2	1	1	1	1	0	2	19	1	0	1	2	28
4	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	2	2	2	2	2	2	2	1	1	1	1	1	1	1	1	1	72	70	74	66	57	62	74	57	64	20	10	30	20	20	10	10	30	10	0	0	0	0	0	0	0	0	0	216	213	220	216	216	213	220	220	213	1	1	1	1	1	1	1	1	1	70	70	70	58	52	52	70	52	58	120	30	60	30	60	120	120	30	60	269	243	320	243	320	269	243	243	320	3	0	1	17	1	1	1	1	0	2	21	1	0	1	2	37
5	6	1	1	1	1	1	1	1	1	1	35	28	28	45	45	35	28	45	45	70	91	56	91	56	91	70	70	70	2	2	2	2	2	2	2	2	2	1	1	1	1	1	1	1	1	1	38	29	32	32	32	32	40	35	46	30	30	20	10	30	20	10	20	20	1	0	1	0	0	1	1	0	1	46	49	53	53	53	53	49	46	53	1	1	1	1	1	1	1	1	1	35	26	26	26	29	29	35	29	35	120	120	120	60	120	60	60	120	30	116	95	116	102	102	95	95	95	102	3	0	1	17	1	1	0	1	0	2	9	1	0	1	3	46
6	7	1	1	1	1	1	1	1	1	1	140	182	112	112	182	112	140	140	140	117	117	117	72	90	90	72	90	72	2	2	2	2	2	2	1	2	2	1	1	1	1	1	1	1	1	1	49	46	56	49	38	46	56	40	43	20	10	30	20	20	10	10	30	10	0	0	0	0	0	0	0	0	0	32	29	36	32	32	29	36	36	29	1	1	1	1	1	1	1	1	1	42	42	42	35	31	31	42	31	35	120	30	60	30	60	120	120	30	60	87	80	101	80	101	87	80	80	101	1	0	1	2	1	1	1	1	0	2	1	1	0	1	3	55
7	8	1	1	1	1	1	1	1	1	1	30	39	24	24	39	24	30	30	30	130	130	130	80	100	100	80	100	80	2	2	2	3	2	3	3	2	2	1	1	1	1	1	1	1	1	1	34	32	40	35	24	32	40	26	28	20	10	30	20	20	10	10	30	10	0	0	0	0	0	0	0	0	0	56	53	60	56	56	53	60	60	53	1	1	1	1	1	1	1	1	1	26	26	26	22	20	20	26	20	22	120	30	60	30	60	120	120	30	60	109	100	126	100	126	109	100	100	126	3	0	1	17	1	1	1	1	0	2	1	1	0	1	4	64
8	9	1	1	1	1	1	1	1	1	1	32	40	52	52	32	32	40	40	52	60	78	78	48	78	48	48	60	48	2	2	2	2	2	2	2	2	2	1	1	1	1	1	1	1	1	1	28	32	36	32	29	32	25	36	35	10	20	10	30	30	20	10	30	30	0	0	1	1	1	0	1	0	0	53	46	49	46	46	46	49	49	49	1	1	1	1	1	1	1	1	1	24	22	24	22	24	29	22	24	29	30	30	120	60	30	60	30	60	30	116	116	116	95	102	102	102	102	116	2	0	1	1	1	1	1	1	0	2	17	1	0	1	2	73
9	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	2	2	2	2	2	2	1	1	1	1	1	1	1	1	1	1	46	38	40	40	42	42	49	43	56	30	30	20	10	30	20	10	20	20	1	0	1	0	0	1	1	0	1	59	62	66	66	66	66	62	59	66	1	1	1	1	1	1	1	1	1	42	31	31	31	35	35	42	35	42	120	120	120	60	120	60	60	120	30	131	110	131	117	117	110	110	110	117	1	0	1	1	1	1	0	1	0	2	2	1	0	2	2	82
10	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	2	2	2	2	2	2	2	1	1	1	1	1	1	1	1	1	38	43	40	40	40	34	43	45	43	10	10	20	30	30	10	20	30	30	0	1	0	1	1	1	0	0	0	52	48	45	45	45	48	45	48	48	1	1	1	1	1	1	1	1	1	32	32	29	29	32	29	38	38	32	30	120	30	60	30	30	60	30	60	116	116	116	93	101	101	101	116	101	2	0	1	19	1	1	1	1	0	2	17	1	0	2	2	91
11	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	2	2	2	2	2	2	2	1	1	1	1	1	1	1	1	1	42	50	48	48	45	38	48	49	50	10	10	20	30	30	10	20	30	30	0	1	0	1	1	1	0	0	0	66	62	59	59	59	62	59	62	62	1	1	1	1	1	1	1	1	1	36	36	32	32	36	32	43	43	36	30	120	30	60	30	30	60	30	60	131	131	131	110	117	117	117	131	117	2	0	1	2	1	1	0	1	0	2	1	1	0	2	3	100
12	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	2	2	2	1	1	2	2	1	1	1	1	1	1	1	1	1	40	32	32	32	34	34	42	36	46	30	30	20	10	30	20	10	20	20	1	0	1	0	0	1	1	0	1	86	89	93	93	93	93	89	86	93	1	1	1	1	1	1	1	1	1	37	28	28	28	31	31	37	31	37	120	120	120	60	120	60	60	120	30	168	129	168	142	142	129	129	129	142	1	0	1	17	1	1	1	1	0	2	1	1	0	2	3	109
13	14	1	1	1	1	1	1	1	1	1	100	130	80	80	130	80	100	100	100	91	91	91	56	70	70	56	70	56	2	2	2	1	2	2	2	1	2	1	1	1	1	1	1	1	1	1	38	36	43	38	28	35	43	29	32	20	10	30	20	20	10	10	30	10	0	0	0	0	0	0	0	0	0	77	74	81	77	77	74	81	81	74	1	1	1	1	1	1	1	1	1	31	31	31	26	23	23	31	23	26	120	30	60	30	60	120	120	30	60	130	118	153	118	153	130	118	118	153	2	0	1	17	1	1	1	1	0	2	1	1	0	2	3	118
14	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	2	2	2	2	2	2	1	1	1	1	1	1	1	1	1	1	31	26	24	26	26	26	32	28	40	30	20	30	10	30	20	10	20	20	1	1	0	0	0	1	1	0	1	41	48	44	48	48	48	44	41	48	1	1	1	1	1	1	1	1	1	26	20	20	20	22	22	26	22	26	120	120	120	60	120	60	60	120	30	111	111	90	97	97	90	90	90	97	2	0	1	1	1	1	1	1	0	2	17	1	0	2	3	127
15	16	1	1	1	1	1	1	1	1	1	80	130	100	130	80	100	80	130	100	190	247	247	152	247	152	152	152	190	2	2	2	2	2	2	2	2	2	1	1	1	1	1	1	1	1	1	66	80	74	74	70	62	78	80	80	10	10	20	30	30	10	20	30	30	0	1	0	1	1	1	0	0	0	79	71	65	65	65	71	65	71	71	1	1	1	1	1	1	1	1	1	62	62	56	56	62	56	74	74	62	30	120	30	60	30	30	60	30	60	208	208	208	165	179	179	179	208	179	2	0	1	1	1	1	1	1	0	2	25	1	0	2	3	136
16	17	1	1	1	1	1	1	1	1	1	20	32	25	32	20	25	20	32	25	90	117	117	72	117	72	72	72	90	2	2	2	2	2	2	2	2	2	1	1	1	1	1	1	1	1	1	26	31	28	28	28	24	30	31	31	10	10	20	30	30	10	20	30	30	0	1	0	1	1	1	0	0	0	61	57	54	54	54	57	54	57	57	1	1	1	1	1	1	1	1	1	23	23	21	21	23	21	28	28	23	30	120	30	60	30	30	60	30	60	132	132	132	102	112	112	112	132	112	2	0	1	2	2	0	1	1	0	2	1	1	0	1	1	145
17	18	1	1	1	1	1	1	1	1	1	32	52	40	52	32	40	32	52	40	110	143	143	88	143	88	88	88	110	2	2	2	2	2	2	2	2	2	1	1	1	1	1	1	1	1	1	27	32	30	30	28	25	30	32	32	10	10	20	30	30	10	20	30	30	0	1	0	1	1	1	0	0	0	95	89	84	84	84	89	84	89	89	1	1	1	1	1	1	1	1	1	24	24	22	22	24	22	29	29	24	30	120	30	60	30	30	60	30	60	186	186	186	154	165	165	165	186	165	3	0	1	25	2	0	1	1	0	2	2	1	0	1	3	154
18	19	1	1	1	1	1	1	1	1	1	10	13	8	8	13	10	8	13	13	1200	1560	1560	960	960	1560	1200	1200	1200	3	1	3	3	1	1	2	2	1	1	1	1	1	1	1	1	1	1	27	23	22	23	24	24	28	25	31	30	10	30	20	30	20	10	20	20	1	0	0	1	0	1	1	0	1	121	128	124	128	128	128	124	121	128	1	1	1	1	1	1	1	1	1	26	20	20	20	22	22	26	22	26	120	60	120	120	120	60	60	120	30	212	177	159	212	177	159	159	159	177	1	0	1	17	2	1	0	1	0	2	1	1	0	1	1	163
19	20	1	1	1	1	1	1	1	1	1	30	24	24	39	39	30	24	39	39	110	143	88	143	88	143	110	110	110	2	2	3	2	2	2	2	2	2	1	1	1	1	1	1	1	1	1	32	27	28	28	28	28	34	30	38	30	30	20	10	30	20	10	20	20	1	0	1	0	0	1	1	0	1	96	99	103	103	103	103	99	96	103	1	1	1	1	1	1	1	1	1	31	23	23	23	26	26	31	26	31	120	120	120	60	120	60	60	120	30	179	137	179	151	151	137	137	137	151	1	0	1	2	2	1	0	1	0	2	1	1	0	2	2	172
20	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	1	2	2	2	2	2	2	1	1	1	1	1	1	1	1	1	106	99	123	106	83	99	123	86	91	20	10	30	20	20	10	10	30	10	0	0	0	0	0	0	0	0	0	57	52	63	57	57	52	63	63	52	1	1	1	1	1	1	1	1	1	96	96	96	80	72	72	96	72	80	120	30	60	30	60	120	120	30	60	133	122	154	122	154	133	122	122	154	4	0	1	2	3	0	1	1	0	2	25	1	0	1	2	181
21	22	1	1	1	1	1	1	1	1	1	36	58	45	58	36	45	36	58	45	70	91	91	56	91	56	56	56	70	3	1	1	1	3	1	3	3	3	1	1	1	1	1	1	1	1	1	62	80	71	71	65	57	71	76	80	10	10	20	30	30	10	20	30	30	0	1	0	1	1	1	0	0	0	43	39	36	36	36	39	36	39	39	1	1	1	1	1	1	1	1	1	52	52	47	47	52	47	62	62	52	30	120	30	60	30	30	60	30	60	108	108	108	87	94	94	94	108	94	3	0	1	2	3	0	1	1	0	2	22	1	0	2	5	190
22	23	1	1	1	1	1	1	1	1	1	50	65	40	40	65	40	50	50	50	78	78	78	48	60	60	48	60	48	2	2	1	1	2	2	1	1	2	1	1	1	1	1	1	1	1	1	68	63	83	70	50	63	83	52	58	20	10	30	20	20	10	10	30	10	0	0	0	0	0	0	0	0	0	49	46	53	49	49	46	53	53	46	1	1	1	1	1	1	1	1	1	54	54	54	45	40	40	54	40	45	120	30	60	30	60	120	120	30	60	102	95	116	95	116	102	95	95	116	2	0	1	1	3	1	1	1	0	2	15	1	0	2	2	199
