PersonID,weight,hhsize,childnum,faminc,faminc25K,income,employed,fulltime,spousepr,spousemp,male,married,age,age2,age15_40,age41_60,age61_85,bachigher,white,metro,diaryday,Sunday,holiday,weekearn,weekwordur,hhchild,ohhchild,t1,t2,t3,t4,number_chosen
1,0.2244021,1,0,6,1,17.5,0,0,0,0,0,0,85,7225,0,0,1,0,0,1,1,1,0,-1.0,-1,0,0,0,240,0,30,2
2,0.255169063,3,1,12,0,55.0,1,1,1,1,1,1,34,1156,1,0,0,1,1,0,1,1,0,-1.0,-1,1,1,0,35,0,15,2
4,0.749951231,6,4,6,1,17.5,1,1,1,0,1,1,45,2025,0,1,0,1,1,1,1,1,0,480.0,50,1,1,30,60,0,70,3
5,0.281223777,1,0,4,1,11.25,0,0,0,0,1,0,85,7225,0,0,1,0,1,0,1,1,0,-1.0,-1,0,0,60,0,0,20,2
6,0.224808648,1,0,11,0,45.0,0,0,0,0,0,0,85,7225,0,0,1,0,1,1,1,1,0,-1.0,-1,0,0,0,185,0,90,2
7,0.195763414,7,5,14,0,87.5,1,1,1,0,1,1,40,1600,1,0,0,1,1,1,1,1,0,1788.46,50,1,1,0,205,0,60,2
8,0.23930734,2,1,14,0,87.5,1,1,0,0,1,0,40,1600,1,0,0,0,1,1,1,1,0,1161.0,54,1,1,60,45,0,55,3
9,0.360193268,4,2,15,0,125.0,1,0,1,1,0,1,37,1369,1,0,0,1,1,1,1,1,0,-1.0,15,1,1,15,180,180,90,4
10,0.524450875,4,1,16,0,150.0,0,0,0,0,1,0,18,324,1,0,0,0,1,1,1,1,0,-1.0,-1,1,0,0,320,0,15,2
11,0.384656241,2,0,13,0,67.5,0,0,0,0,0,0,68,4624,0,0,1,1,0,1,1,1,0,-1.0,-1,0,0,15,132,0,70,3
12,0.594472896,2,0,13,0,67.5,1,1,1,1,1,1,65,4225,0,0,1,0,1,1,1,1,0,1300.0,50,0,0,45,0,0,80,2
13,0.590640592,2,0,16,0,150.0,1,0,1,0,1,1,64,4096,0,0,1,1,1,1,1,1,0,-1.0,32,0,0,0,120,0,60,2
14,1.505029871,3,0,16,0,150.0,1,0,0,0,1,0,19,361,1,0,0,0,1,1,1,1,0,216.0,14,0,0,0,10,50,30,3
15,0.238251977,1,0,4,1,11.25,0,0,0,0,0,0,59,3481,0,1,0,0,1,1,1,1,0,-1.0,-1,0,0,0,0,0,30,1
17,0.782215101,5,3,3,1,8.75,0,0,0,0,0,1,40,1600,1,0,0,0,0,1,1,1,0,-1.0,-1,1,1,8,0,0,0,1
18,0.507536282,1,0,15,0,125.0,1,1,0,0,1,0,46,2116,0,1,0,0,1,0,1,1,0,1384.61,50,0,0,0,0,60,60,2
19,0.289894971,1,0,7,1,22.5,0,0,0,0,0,0,72,5184,0,0,1,0,1,1,1,1,0,-1.0,-1,0,0,20,20,0,0,2
